inflow_vol,month,starting_stage
2115,June,3819.17
1978,June,3853.53
2133,July,3807.52
2060,August,3802.85
2261,June,3804.61
2201,May,3829.38
2033,July,3807.87
2159,July,3795.88
2056,June,3810.45
2160,June,3846.23
2257,May,3815.83
2169,May,3851.77
2152,July,3822.29
2213,May,3808.29
2055,June,3836.40
1922,September,3810.94
2099,April,3818.90
2152,April,3818.16
2216,July,3807.40
2152,May,3819.07
2190,August,3844.18
2252,May,3805.42
2276,June,3804.91
2165,July,3811.24
2163,May,3813.52
2184,June,3852.92
2312,July,3816.23
2298,August,3800.95
2131,May,3827.10
2151,July,3831.48
2140,August,3841.26
2247,June,3816.04
2093,June,3815.24
2128,May,3815.96
2170,July,3806.07
2320,May,3815.86
2158,April,3838.95
2047,May,3829.75
2179,August,3803.52
2310,May,3809.80
2381,September,3836.62
2154,June,3845.43
2226,June,3853.70
2044,May,3809.97
2276,July,3805.15
2432,August,3792.13
2178,May,3812.15
2298,May,3853.01
2333,May,3811.66
2111,July,3853.31
2148,June,3812.23
2194,July,3801.33
2301,August,3806.86
2304,August,3814.27
2309,August,3829.41
2306,August,3847.35
2421,June,3843.66
2267,May,3806.63
2272,June,3814.43
2426,May,3798.37
2196,August,3844.21
2184,July,3839.41
2362,July,3837.88
2376,May,3860.42
2364,June,3808.31
2319,June,3811.02
2412,June,3824.99
2539,May,3853.98
2230,July,3797.30
2362,June,3820.02
2183,May,3815.22
2466,June,3834.18
